State,Bedroom,Bathroom,Area,LotArea,Latitude,Longitude,ListedPrice
48,4.0,7.0,9696.0,4.53,43.578857,-110.803955,37500000.0
18,5.0,10.0,30000.0,9.65,39.0347,-77.24694,34900000.0
48,5.0,7.0,7984.0,37.06,43.589115,-110.77668,32750000.0
17,5.0,8.0,10858.0,0.099862258953168,42.356625,-71.06832,31000000.0
24,6.0,11.0,15264.0,5.85,48.006107,-114.212875,28500000.0
28,5.0,9.0,10176.0,1.38,42.99221,-70.750206,25000000.0
48,4.0,6.0,8713.0,4.94,43.52093,-110.83362,22500000.0
29,7.0,12.0,25700.0,0.3,40.93437,-73.935776,22490000.0
44,4.0,6.0,6878.0,196.95,44.542725,-72.66967,20000000.0
48,5.0,7.0,7876.0,1.52,43.58156,-110.83002,19950000.0
31,8.0,14.0,20000.0,0.51,39.02165,-119.95088,19500000.0
24,8.0,8.0,9943.0,171.0,45.29594,-111.36488,18500000.0
29,6.0,9.0,17425.0,2.92,40.390144,-74.01343,15995000.0
30,5.0,6.0,11000.0,197.0,33.48064,-105.66621,15000000.0
37,14.0,17.0,20555.0,4.75,41.47661,-71.3003,15000000.0
18,6.0,11.0,15737.0,20.09,39.052467,-76.53767,14995000.0
45,7.0,12.0,13686.0,1.15,45.608017,-122.59315,14995000.0
29,5.0,6.0,4529.0,0.1515151515151515,39.10165,-74.710464,12995000.0
24,10.0,8.0,17533.0,315.53,46.605816,-111.71456,12700000.0
18,6.0,11.0,16557.0,1.94,39.0102,-77.18343,12500000.0
24,8.0,9.0,11585.0,170.2,46.441853,-114.128944,11995000.0
5,6.0,7.0,10599.0,37.18,39.313713,-107.09927,11500000.0
35,5.0,9.0,13462.0,0.6599999999999999,45.415485,-122.68306,11500000.0
18,6.0,10.0,15000.0,2.7728,38.99992,-77.13377,11500000.0
19,4.0,5.0,7016.0,9.25,44.430004,-68.245804,11200000.0
21,5.0,7.0,6775.0,2.6400367309458217e-05,44.964634,-93.49755,10995000.0
18,6.0,9.0,13482.0,2.03,38.99292,-77.1869,10000000.0
19,8.0,11.0,9025.0,8.8,44.32594,-68.916595,9775000.0
31,6.0,10.0,12345.0,0.54,36.126846,-115.3428,9480000.0
37,6.0,7.0,10685.0,4.139990817263545,41.46686,-71.32822,9475000.0
45,3.0,4.0,3632.0,0.3243999999999999,47.595352,-122.28713,9350000.0
21,5.0,7.0,10692.0,2.04,44.92566,-93.54424,8995000.0
19,6.0,12.0,13331.0,88.0,45.46023,-69.58198,8850000.0
37,4.0,6.0,6030.0,0.4752066115702479,41.460434,-71.357864,8750000.0
40,6.0,12.0,14804.0,5.11,36.084873,-86.773346,8750000.0
24,6.0,6.0,7413.0,20.003,45.75161,-110.88319,8295000.0
34,5.0,5.0,10405.0,1.488,36.109554,-95.9541,7995000.0
38,7.0,8.0,9556.0,1.16,32.87854,-79.91332,7950000.0
8,7.0,9.0,5800.0,0.5311065197428834,26.116636,-80.11503,7900000.0
10,3.0,1.0,3200.0,800.0,41.46711,-94.08038,7840000.0
4,4.0,3.0,1757.0,0.1073232323232323,33.04684,-117.29724,7800000.0
19,13.0,10.0,10849.0,22.0,43.71487,-70.19419,7500000.0
24,4.0,4.0,4571.0,1.06,45.25213,-111.361206,7495000.0
19,9.0,7.0,8876.0,0.64,43.34214,-70.46478,6950000.0
19,3.0,3.0,8682.0,231.2,44.310444,-69.00392,6775000.0
20,6.0,9.0,9257.0,4.34,42.370834,-86.292046,6750000.0
9,7.0,12.0,13422.0,2.4,33.87405,-84.417305,6500000.0
31,8.0,9.0,8926.0,0.97,36.236526,-115.30802,6000000.0
24,5.0,5.0,4219.0,0.7669999999999999,45.300083,-111.40859,6000000.0
4,4.0,5.0,4525.0,0.1732093663911845,33.62351,-117.9037,5995000.0
37,4.0,3.0,4496.0,1.25,41.526363,-71.417114,5500000.0
11,5.0,7.0,6931.0,4.98,43.73464,-116.38588,5395000.0
24,6.0,5.0,7499.0,40.573,45.62533,-111.08919,5375000.0
6,6.0,8.0,10350.0,1.0,41.135445,-73.32271,5250000.0
4,4.0,8.0,6586.0,1.01,33.764786,-116.45627,4999900.0
4,5.0,6.0,5770.0,0.2364095500459136,34.162525,-118.486565,4999000.0
16,7.0,8.0,9200.0,0.5076446280991735,29.930004,-90.11493,4949000.0
24,4.0,4.0,5466.0,1.05,48.455654,-114.346306,4895000.0
2,3.0,2.0,1400.0,70.01,35.136562,-94.289154,4800000.0
16,5.0,10.0,8600.0,0.3790633608815427,29.931242,-90.11769,4799000.0
4,5.0,3.0,3250.0,0.35,37.55954,-122.34377,4598000.0
16,6.0,7.0,8340.0,0.4404,29.939352,-90.12262,4500000.0
44,6.0,3.0,3309.0,260.0,42.887802,-72.86713,4500000.0
24,3.0,2.0,3800.0,18.0,46.507244,-114.70236,4500000.0
4,3.0,3.0,2422.0,0.0707070707070707,33.609955,-117.91284,4450000.0
5,4.0,3.0,2382.0,495.0,39.253235,-104.42376,4350000.0
6,6.0,11.0,10414.0,1.85,41.165966,-73.31928,4285000.0
28,4.0,1.0,1309.0,0.55,43.67496,-71.43512,4200000.0
3,4.0,5.0,4887.0,2.44,32.468678,-110.973366,4100000.0
5,5.0,7.0,6834.0,1.13,39.527145,-106.035965,4100000.0
4,5.0,5.0,4556.0,0.305325987144169,37.498566,-122.28084,4088000.0
39,4.0,4.0,2332.0,94.2,44.19724,-103.35556,4000000.0
4,5.0,5.0,4177.0,0.1860422405876951,32.971455,-117.197075,3960000.0
31,4.0,7.0,4998.0,0.4599999999999999,36.08243,-115.218445,3900000.0
4,4.0,5.0,3651.0,0.2249770431588613,32.814144,-117.23204,3900000.0
20,6.0,11.0,15000.0,3.34,42.577137,-83.26084,3899000.0
27,6.0,6.0,9900.0,24.44,40.749546,-96.576866,3890000.0
37,5.0,6.0,5349.0,0.5062213039485767,41.504402,-71.26301,3850000.0
19,7.0,7.0,7500.0,2.4,44.276863,-68.55392,3845000.0
7,4.0,3.0,1800.0,0.3100091827364554,38.73455,-75.08524,3795000.0
42,6.0,5.0,7513.0,0.73,37.08714,-113.52949,3750000.0
44,3.0,4.0,2551.0,0.0,44.530643,-72.7794,3695000.0
28,3.0,5.0,5716.0,1.3,43.528336,-71.24082,3670000.0
31,5.0,6.0,5604.0,0.2799999999999999,36.15011,-115.343254,3649000.0
19,5.0,4.0,3900.0,1.56,43.813545,-69.59697,3595000.0
24,3.0,4.0,3542.0,45.0,45.08524,-110.83507,3500000.0
5,8.0,8.0,9250.0,200.0,37.573208,-104.7664,3500000.0
5,4.0,5.0,3297.0,0.505325987144169,39.436714,-107.26494,3461850.0
4,4.0,4.0,3078.0,0.2225,34.1258,-118.3784,3395000.0
14,5.0,9.0,8099.0,3.33,37.736626,-97.422516,3350000.0
4,3.0,3.0,2748.0,0.1086999999999999,34.099243,-118.392006,3349000.0
24,3.0,4.0,5176.0,0.5599999999999999,48.083996,-114.09649,3335000.0
37,4.0,3.0,2669.0,0.85,41.337498,-71.75607,3295000.0
6,3.0,4.0,4146.0,3.17,41.574062,-73.39993,3250000.0
8,3.0,4.0,3609.0,0.174931129476584,27.931147,-82.47556,3250000.0
31,3.0,4.0,2249.0,0.3989999999999999,39.279,-119.94429,3249000.0
30,3.0,3.0,3070.0,1.27,35.707897,-105.889305,3200000.0
3,3.0,3.5,4288.0,0.7339302112029384,33.72451,-111.885826,3000000.0
6,5.0,6.0,6498.0,0.5,41.139565,-73.311325,2999000.0
11,4.0,5.0,5712.0,7.71,43.4247,-114.21394,2995000.0
28,5.0,5.0,5733.0,28.7,42.983837,-70.81454,2995000.0
4,4.0,3.0,3040.0,0.2226813590449954,37.52777,-122.35472,2965000.0
11,6.0,5.0,4750.0,1.05,43.328564,-111.17317,2950000.0
4,6.0,4.0,3200.0,0.3328741965105601,35.288254,-120.66793,2950000.0
29,6.0,8.0,8217.0,3.57,40.29578,-74.12315,2899910.0
6,5.0,7.0,5676.0,0.6,41.13942,-73.3113,2850000.0
42,4.0,4.0,4200.0,0.36,40.78554,-111.86596,2800000.0
2,9.0,10.0,6678.0,0.3,34.449,-93.04352,2775000.0
10,6.0,7.0,10202.0,5.96,41.98367,-91.602936,2750000.0
5,6.0,8.0,6598.0,0.1434802571166207,39.688644,-104.95334,2675000.0
17,6.0,7.0,6270.0,5.24,42.631237,-70.88159,2600000.0
6,5.0,6.0,6187.0,1.09,41.14615,-73.31377,2595000.0
30,5.0,8.0,6822.0,0.89,35.18902,-106.50835,2550000.0
4,5.0,3.0,3087.0,0.7839072543617999,37.246925,-121.99508,2500000.0
30,4.0,5.0,7151.0,0.5,35.128628,-106.694176,2500000.0
8,4.0,4.0,3970.0,0.426010101010101,27.406101,-82.39458,2500000.0
44,4.0,5.0,3569.0,366.1,43.09616,-72.74877,2499000.0
3,5.0,3.5,3685.0,1.0321,33.573795,-111.95091,2495000.0
19,4.0,5.0,4192.0,2.5,43.784443,-70.180565,2495000.0
9,6.0,8.0,9010.0,0.7,33.83658,-84.3872,2495000.0
48,3.0,3.0,2496.0,1.1,43.31972,-110.73219,2425000.0
4,6.0,7.0,5242.0,0.2789,34.177647,-118.61883,2399999.0
4,3.0,2.0,1597.0,0.1900826446280991,33.647766,-117.897224,2399000.0
7,5.0,5.0,3834.0,0.1800045913682277,38.78104,-75.12106,2395000.0
4,3.0,3.0,2600.0,26.84,36.42763,-118.915955,2395000.0
26,6.0,7.0,9778.0,0.9846418732782368,46.807693,-96.826836,2395000.0
5,5.0,6.0,5599.0,0.2606978879706152,39.976242,-105.033295,2299000.0
13,5.0,8.0,7717.0,2.3,39.936123,-86.17384,2295000.0
42,5.0,6.0,5627.0,0.3399999999999999,37.08981,-113.526695,2295000.0
31,4.0,3.0,3211.0,0.45,36.040318,-115.15629,2295000.0
44,4.0,4.0,4854.0,3.0,44.43603,-72.706024,2275000.0
44,4.0,3.0,3491.0,3.2,44.717842,-73.28511,2250000.0
14,10.0,13.0,10964.0,9.85,38.765484,-94.74933,2250000.0
34,6.0,7.0,8430.0,4.57,35.634785,-97.40266,2250000.0
44,5.0,7.0,4510.0,32.23,43.556587,-72.54305,2250000.0
28,7.0,5.0,5661.0,2.8,43.359406,-72.066895,2200000.0
4,3.0,2.0,1620.0,0.0933884297520661,32.959915,-117.24034,2200000.0
48,5.0,4.0,3737.0,0.8578282828282828,44.679348,-106.96547,2197000.0
21,4.0,4.0,4618.0,0.52,44.732655,-93.40596,2195000.0
28,2.0,3.0,2232.0,1.0,43.58444,-71.13431,2195000.0
42,6.0,5.0,7583.0,0.37,40.657692,-111.808556,2190000.0
16,6.0,5.0,6515.0,0.1818181818181818,29.933687,-90.08165,2150000.0
39,3.0,4.0,4914.0,11.79,43.92896,-103.29401,2150000.0
18,5.0,7.0,9175.0,1.68,38.933712,-76.79032,2150000.0
27,5.0,4.0,7003.0,40.37,40.968025,-96.755005,2150000.0
8,4.0,5.0,2726.0,0.11,30.297976,-86.06354,2100000.0
17,3.0,3.0,2016.0,0.24,41.270596,-70.20188,2095000.0
29,5.0,6.0,5274.0,0.76,40.59941,-74.52875,2075000.0
17,5.0,5.0,4400.0,0.229981634527089,42.28155,-71.252106,2049000.0
44,7.0,8.0,8278.0,6.5,43.143257,-72.80082,2000000.0
9,6.0,7.0,8492.0,4.37,34.144978,-84.16341,2000000.0
3,5.0,4.0,2996.0,1.04,34.85918,-111.81261,2000000.0
11,2.0,2.0,2111.0,1.3,43.739677,-114.38496,2000000.0
11,6.0,6.0,3993.0,2.01,44.429707,-111.46573,1999000.0
8,4.0,3.0,2624.0,0.0,26.276148,-81.76904,1995000.0
3,4.0,3.5,3411.0,0.2913911845730028,33.70667,-111.92144,1990000.0
37,3.0,4.0,3976.0,1.179981634527089,41.50654,-71.25138,1975000.0
9,4.0,3.0,5113.0,76.0,33.703384,-83.79197,1965000.0
3,4.0,4.5,4152.0,1.2503,33.222904,-111.81985,1950000.0
3,6.0,5.0,5000.0,1.023989898989899,35.182693,-111.59361,1950000.0
5,5.0,5.0,7950.0,2.5172,40.03721,-105.12586,1950000.0
24,5.0,3.0,5422.0,4.74,46.85141,-114.075615,1950000.0
4,4.0,4.0,4567.0,0.54,38.694675,-121.094604,1950000.0
8,5.0,6.0,4522.0,2.75,28.857796,-81.553856,1900000.0
7,6.0,7.0,5850.0,0.6899908172635445,39.762474,-75.57422,1900000.0
18,5.0,6.0,7472.0,0.4571625344352617,38.98324,-77.15524,1900000.0
4,4.0,3.0,1970.0,0.1157024793388429,37.593376,-122.497665,1898000.0
11,3.0,5.0,3619.0,0.262,43.70638,-116.44936,1895000.0
22,4.0,4.0,4327.0,1.019,38.582066,-90.434975,1895000.0
11,3.0,3.0,2176.0,0.2799999999999999,43.764877,-114.40488,1875000.0
24,4.0,3.0,3192.0,20.24,45.89761,-111.309425,1850000.0
8,4.0,5.0,4170.0,0.4316115702479339,28.21439,-82.45918,1850000.0
37,4.0,3.0,3270.0,0.1899908172635445,41.85275,-71.390785,1850000.0
17,4.0,3.0,3093.0,1.3974,42.33941,-71.28868,1825000.0
5,3.0,3.0,4181.0,1.0,38.36436,-107.38393,1800000.0
4,4.0,3.0,2940.0,0.1377410468319559,37.650684,-122.48187,1799000.0
22,7.0,9.0,11500.0,0.75,39.045963,-94.57894,1795000.0
44,4.0,4.0,3728.0,9.49,44.381973,-73.02526,1775000.0
4,5.0,4.0,3611.0,0.35,33.83214,-117.811516,1765000.0
42,5.0,6.0,8241.0,2.36,40.864277,-111.83622,1750000.0
10,5.0,5.0,4587.0,26.35,42.063496,-91.739204,1750000.0
0,2.0,2.0,1576.0,86.07,61.56103,-149.9511,1750000.0
23,4.0,5.0,5359.0,0.38,32.407997,-90.01936,1750000.0
31,7.0,6.0,4645.0,1.53,39.360737,-119.743164,1750000.0
17,6.0,3.0,2800.0,0.3657483930211203,42.32515,-71.20577,1749000.0
5,4.0,3.0,2037.0,0.1304178145087236,40.02487,-105.28927,1745000.0
11,4.0,4.0,4059.0,0.52,43.70575,-116.420525,1724900.0
4,3.0,2.0,2375.0,0.1653,37.923206,-122.50248,1700000.0
18,6.0,6.0,5768.0,5.68,39.22334,-76.92988,1700000.0
5,4.0,4.0,4607.0,0.9,39.67627,-105.26647,1700000.0
11,6.0,4.5,6525.0,0.942,43.801666,-111.7811,1699999.0
4,4.0,3.0,2568.0,0.1016299357208448,33.48943,-117.669685,1699900.0
17,5.0,3.0,4318.0,1.162,42.276222,-71.338715,1699000.0
6,4.0,4.0,3200.0,0.1399999999999999,41.132767,-73.26132,1699000.0
24,4.0,4.0,3256.0,0.799,45.738205,-111.14947,1699000.0
31,4.0,5.0,4100.0,0.25,36.20485,-115.26811,1699000.0
48,2.0,2.0,1442.0,2.82,44.318375,-106.91867,1699000.0
11,5.0,4.0,5302.0,0.29,43.656246,-116.17432,1698000.0
6,3.0,3.0,3363.0,14.85,41.543716,-73.15894,1695000.0
6,3.0,4.0,2926.0,0.27,41.273766,-72.62758,1695000.0
29,4.0,4.0,7227.0,2.35,40.41601,-74.64623,1695000.0
17,4.0,3.0,3657.0,1.018,42.260036,-71.33108,1695000.0
4,4.0,3.0,1829.0,0.1151056014692378,34.088787,-118.234985,1695000.0
24,3.0,4.0,4299.0,5.0,48.268124,-114.440094,1690000.0
10,6.0,6.0,8168.0,1.92,42.541756,-92.468216,1675000.0
39,4.0,5.0,5875.0,9.5,44.04172,-103.25163,1675000.0
4,5.0,3.0,3267.0,0.2591138659320477,33.99196,-117.765015,1669000.0
37,4.0,4.0,2624.0,0.2,41.579205,-71.43864,1650000.0
44,5.0,4.0,4230.0,171.0,43.194817,-72.64916,1650000.0
32,6.0,5.0,3672.0,5.6,44.422703,-73.37271,1650000.0
31,4.0,5.0,3880.0,0.1699999999999999,36.075966,-115.31606,1640000.0
27,6.0,6.0,6555.0,3.15,40.64081,-96.61668,1633000.0
0,5.0,5.0,5086.0,1.38,61.11192,-149.79018,1625000.0
30,3.0,4.0,3450.0,0.98,35.18728,-106.658936,1600000.0
11,5.0,5.0,4708.0,0.25,43.668526,-116.45502,1600000.0
39,4.0,3.0,4321.0,6.02,43.949528,-103.51539,1600000.0
5,2.0,1.0,1543.0,39.63,39.863117,-105.459816,1600000.0
16,5.0,4.0,5305.0,0.597,30.201834,-89.76452,1600000.0
44,5.0,6.0,3808.0,43.03,42.83615,-72.66603,1600000.0
